;-----------------------------------------------------------
;ICAO	Latitude	Longitude	City/Airport
EFPU	65.402222	026.946945	Pudasjarvi
EFPO	61.461388	021.797777	Pori
EFPN	61.728882	029.393612	Punkaharju
EFPK	62.253048	027.003889	Pieksamaki
EFPI	61.245270	022.195000	Piikajarvi
EFPA	68.145554	025.822777	Pokka
EFMA	60.121944	019.896389	Mariehamn
EFOP	60.876381	022.744722	Oripaa
EFVL	64.501938	026.760000	Vaala
EFNU	60.333885	024.296389	Nummela
EFMP	68.660271	025.702778	Martiniiskonpalo
EFMI	61.686382	027.200001	Mikkeli
EFME	62.946667	023.518888	Menkijarvi
EFRN	62.065548	028.356667	Rantasalmi
EFPH	62.465000	030.038334	Pyhaselka
EFTP	61.415268	023.587778	Pirkkala
EFKY	60.571388	026.896111	Kymi
EFYL	64.054718	024.725277	Ylivieska
EFWB	60.663605	026.745832	Wredeby
EFVU	68.087212	027.123888	Vuotso
EFVT	63.398335	024.035000	Sulkaharju
EFVR	62.171108	027.868610	Varkaus
EFVI	63.121658	025.820000	Viitasaari
EFUT	60.896385	026.938055	Utti AB
EFVA	63.045273	021.764166	Vaasa
EFTS	61.773048	024.025278	Teisko
EFRO	66.561661	025.830833	Rovaniemi
EFSU	64.821938	028.710278	Suomussalmi
EFSO	67.396667	026.618055	Sodankyla
EFSI	62.693604	022.831944	Seinajoki
EFSE	61.064159	026.795555	Selanpaa
EFSA	61.942776	028.945000	Savonlinna
EFRY	60.744717	024.107779	Rayskala
EFRV	63.705547	026.616388	Kiuruvesi
EFRU	65.973053	026.365278	Ranua
EFTU	60.514717	022.261667	Turku
EFHF	60.253887	025.044167	Malmi
EFIT	62.166107	030.073610	Kitee
EFIM	61.249718	028.903610	Immola
EFIK	60.462776	023.651112	Kiikala
EFII	63.631943	027.122223	Iisalmi
EFHV	60.654442	024.881111	Hyvinkaa
EFHP	64.113052	025.504168	Haapavesi
EFHN	59.845547	023.082222	Hanko
EFIV	68.610832	027.413889	Ivalo
EFHL	64.966942	024.704445	Hailuoto
EFHK	60.317219	024.963333	Vantaa
EFFO	60.801937	023.645555	Forssa
EFEU	61.116108	022.201389	Eura
EFET	68.364441	023.427500	Enontekio
EFAL	62.554722	023.573334	Alavus
EFAH	64.895279	025.752222	Ahmosuo
EFAA	67.603607	023.971666	Aavahelukka
EFLN	63.511658	029.633333	Lieksa-Nurmes
EFLP	61.045830	028.148611	Lappeenranta
EFHM	61.690269	023.074167	Hameenkyro
EFKO	64.228607	023.826389	Kalajoki
EFKV	63.125275	025.090834	Kivijarvi
EFHA	61.856380	024.789167	Halli AB
EFLA	61.144165	025.693056	Vesivehmaa
EFJM	61.778606	022.716110	Jamijarvi
EFKU	63.008602	027.794445	Kuopio
EFKT	67.698608	024.848055	Kittila
EFKR	63.989162	025.743610	Karsamaki
EFKM	66.715828	027.157223	Kemijarvi
EFKK	63.720268	023.139166	Kruunupyy
EFKA	63.124161	023.051390	Kauhava AB
EFJO	62.658886	029.624445	Joensuu
EFJP	68.711380	025.752777	Jakalapaa
EFKS	65.990273	029.231945	Kuusamo
EFJY	62.400829	025.672777	Jyvaskyla
EFKE	65.779167	024.584723	Tornio
EFKG	60.246941	020.804722	Kumlinge
EFKH	64.112495	029.438610	Kuhmo
EFKI	64.284164	027.687500	Kajaani
EFKJ	62.463326	022.395000	Kauhajoki
EFHT	62.533330	024.216670	Ahtari
EFES	60.191667	019.086667	Tampere FIR
EFHI	62.258889	024.335833	Haapamaki
EFMN	60.570833	025.509167	Mantsala
EFPE	66.800000	024.000000	Pello
EFPS	63.733333	030.016667	Rovaniemi FIR
EFTO	60.078889	024.172222	Torbacka
EFIL	62.700000	022.833330	Ilmajoki
EFSJ	63.820833	027.765000	Sonkajarvi Jyrkka
EGQS	57.705208	-003.339170	Lossiemouth AB
EGPN	56.452404	-003.025828	Dundee
EGSM	52.434994	001.616111	Beccles
EGPO	58.213604	-006.328889	Stornoway
EGPT	56.439159	-003.372222	Scone
EGPU	56.498844	-006.869817	Tiree
EGPW	60.747219	-000.853889	Unst
EGQK	57.649384	-003.560636	Kinloss AB
EGQL	56.372829	-002.868500	Leuchars AB
EGPR	57.026943	-007.437500	Barra
EGSA	52.629440	000.928056	Shipdham
EGSB	52.143047	-000.404722	Castle Mill
EGSC	52.204994	000.175000	Cambridge
EGSD	52.634995	001.723333	North Denes
EGSF	52.468056	-000.251111	Conington
EGSG	51.652500	000.155833	Stapleford
EGSH	52.675926	001.282650	Norwich
EGSJ	52.510834	001.417222	Seething
EGSL	51.894997	000.449167	Andrewsfield
EGSN	52.210278	-000.042778	Bourn
EGPM	60.432217	-001.298056	Scatsta
EGNW	53.316658	-000.349722	Wickenby
EGSK	52.562492	001.175000	Hethel
EGOY	54.851162	-004.947833	West Freugh Mod Pe
EGNR	53.178047	-002.977778	Hawarden
EGNS	54.083336	-004.624168	Isle Of Man
EGNT	55.037491	-001.691667	Newcastle
EGNV	54.509186	-001.429405	Teesside
EGUC	52.112499	-004.555555	Aberporth Mod Pe
EGNX	52.831024	-001.326617	East Midlands
EGSO	52.170547	001.112778	Crowfield
EGOE	52.871166	-002.533500	Ternhill AB
EGOQ	53.258331	-004.372222	Mona AB
EGOS	52.798161	-002.668000	Shawbury AB
EGOD	52.811661	-004.123500	Llanbedr Mod Pe
EGOW	53.581493	-003.055500	Woodvale AB
EGPL	57.477497	-007.366389	Benbecula
EGPA	58.957890	-002.905336	Kirkwall
EGPB	59.878887	-001.295555	Sumburgh
EGPC	58.456657	-003.097500	Wick
EGPD	57.204159	-002.200278	Dyce
EGPE	57.540054	-004.050050	Inverness
EGPF	55.871941	-004.433333	Glasgow
EGPG	55.974991	-003.974444	Cumbernauld
EGPH	55.952496	-003.362778	Edinburgh
EGPI	55.681942	-006.256667	Islay
EGPJ	56.183334	-003.220278	Fife
EGPK	55.507774	-004.586667	Prestwick
EGOV	53.248165	-004.535333	Valley AB
EGXT	52.612495	-000.476667	Wittering AB
EGTW	51.631660	-002.013333	Oaksey Park
EGVP	51.148884	-001.568889	Middle Wallop Army
EGWC	52.639996	-002.305500	Cosford AB
EGWE	52.017773	-000.302222	Henlow AB
EGWN	51.792496	-000.736833	Halton AB
EGWU	51.553005	-000.418192	Northolt AB
EGXC	53.093014	-000.166014	Coningsby AB
EGXD	54.137161	-001.420333	Dishforth AB
EGXE	54.292339	-001.535192	Leeming AB
EGXG	53.834332	-001.195500	Church Fenton AB
EGVN	51.749996	-001.583667	Brize Norton AB
EGXN	52.966496	-000.989500	Newton AB
EGUW	52.127327	000.956000	Wattisham Army
EGXU	54.049160	-001.252833	Linton-On-Ouse AB
EGXW	53.165829	-000.522222	Waddington AB
EGXZ	54.205498	-001.382167	Topcliffe AB
EGYC	52.754997	001.357333	Coltishall AB
EGYD	53.030346	-000.483305	Cranwell AB
EGYE	52.962330	-000.561667	Barkston Heath AB
EGYM	52.648327	000.550500	Marham AB
EGYP	-51.826378	-058.447155	Mount Pleasant
EGCL	52.739159	-000.029722	Fenland
EGNO	53.744995	-002.883889	Warton
EGXJ	52.735657	-000.648833	Cottesmore AB
EGTF	51.348045	-000.558889	Fairoaks
EGSQ	51.784992	001.128333	Clacton
EGSR	51.914165	000.682222	Earls Colne
EGSS	51.884991	000.235000	Stansted
EGST	52.075550	000.978056	Elmsett
EGSU	52.090832	000.131944	Duxford
EGSV	52.497219	001.050833	Old Buckenham
EGSX	51.721104	000.155833	North Weald
EGSY	53.394253	-001.388486	Sheffield City
EGTB	51.611664	-000.808056	Booker
EGTC	52.072212	-000.616667	Cranfield
EGVO	51.234161	-000.942833	Odiham AB
EGTE	50.734436	-003.413889	Exeter
EGSP	52.555824	-000.386389	Sibson
EGTG	51.519440	-002.590278	Filton
EGTK	51.836662	-001.319722	Kidlington
EGTO	51.351944	000.503333	Rochester
EGTP	50.331665	-005.177500	Perranporth
EGTR	51.655830	-000.325833	Elstree
EGUB	51.616306	-001.095828	Benson AB
EGUL	52.409439	000.561111	Lakenheath AB
EGUM	51.341991	001.346167	Manston AB
EGUN	52.359993	000.486667	Mildenhall AB
EGUO	51.433327	-002.283333	Colerne
EGTD	51.117218	-000.535833	Dunsfold
EGDW	50.962490	-002.935555	Merryfield Navy
EGAA	54.657497	-006.215556	Aldergrove
EGCW	52.629162	-003.153056	Welshpool
EGDG	50.440495	-004.995333	St Mawgan AB
EGDJ	51.286110	-001.781944	Upavon Army
EGDL	51.505161	-001.993333	Lyneham AB
EGDM	51.152187	-001.747414	Boscombe Down
EGDN	51.247166	-001.754167	Netheravon Army
EGDO	50.001110	-005.230833	Predannack Navy
EGDP	50.567993	-002.449667	Portland Navy
EGFE	51.833054	-004.961111	Haverfordwest
EGDT	51.508606	-001.798333	Wroughton
EGCJ	53.788052	-001.218333	Sherburn-In-Elmet
EGDX	51.404827	-003.435833	St Athan AB
EGDY	51.008888	-002.637500	Yeovil Radar Navy
EGEC	55.436382	-005.680000	Campbeltown
EGED	59.191380	-002.773889	Eday
EGEF	59.535831	-001.628056	Fair Isle
EGEN	59.368324	-002.433333	North Ronaldsay
EGER	59.158051	-002.641389	Stronsay
EGES	59.250275	-002.576667	Sanday
EGET	60.191662	-001.243333	Tingwall
EGEW	59.351101	-002.950000	Westray
EGDR	50.086163	-005.255667	Culdrose Navy
EGBM	52.814159	-001.761111	Tatenhill
EGNM	53.865898	-001.660569	Leeds Bradford
EGCV	52.833885	-002.771667	Sleap
EGAB	54.398884	-007.651667	St Angelo
EGAC	54.618050	-005.872500	Belfast City
EGAD	54.581108	-005.691945	Newtownards
EGAE	55.042774	-007.160833	Eglinton
EGBB	52.453854	-001.748028	Birmingham
EGBD	52.859718	-001.617500	Derby
EGBE	52.369720	-001.479722	Coventry
EGBG	52.607773	-001.031944	Leicester
EGCS	53.381107	-000.685278	Sturgate
EGBK	52.305271	-000.792778	Sywell
EGCK	53.104160	-004.340556	Caernarfon
EGBN	52.919998	-001.079167	Nottingham
EGBO	52.517490	-002.259722	Halfpenny Green
EGBS	52.241383	-002.881389	Shobdon
EGBT	52.041664	-001.095000	Turweston
EGBW	52.192215	-001.614444	Wellesbourne Mountford
EGCB	53.471386	-002.389167	Barton
EGCC	53.353741	-002.274950	Manchester
EGCD	53.338047	-002.148889	Woodford
EGCF	53.559715	-000.858333	Sandtoft
EGEP	59.351662	-002.900278	Papa Westray
EGBJ	51.894108	-002.167108	Gloucestershire
EGMA	52.077496	000.061667	Fowlmere
EGKH	51.156937	000.641667	Headcorn
EGFF	51.396667	-003.343333	Cardiff
EGKR	51.213612	-000.138611	Redhill
EGEH	60.376942	-000.925555	Whalsay
EGLC	51.505249	000.054369	London City
EGLD	51.588612	-000.513056	Denham
EGLF	51.275826	-000.776111	Farnborough
EGLG	51.802494	-000.158056	Panshanger
EGLK	51.323887	-000.847500	Blackbushe
EGLL	51.477497	-000.461389	Heathrow
EGKE	51.208328	000.831667	Challock
EGLS	51.098881	-001.784167	Old Sarum
EGKK	51.148048	-000.190278	Gatwick
EGMC	51.571388	000.695556	Southend
EGMD	50.956104	000.939167	Lydd
EGNA	53.014439	-001.218333	Hucknall
EGNB	53.721416	-000.563437	Brough
EGNC	54.937492	-002.809167	Carlisle
EGNE	53.280548	-000.951389	Gamston
EGNF	53.316940	-001.196111	Netherthorpe
EGNH	53.771557	-003.028561	Blackpool
EGNJ	53.574715	-000.350833	Humberside
EGNL	54.131107	-003.262222	Walney Island
EGLM	51.500832	-000.773611	White Waltham
EGHD	50.422775	-004.106111	Plymouth
EGFH	51.605274	-004.067778	Swansea
EGGD	51.382664	-002.719089	Bristol
EGGP	53.333603	-002.850000	Liverpool
EGGW	51.874435	-000.368333	Luton
EGHA	50.967495	-002.153611	Compton-Abbas
EGLA	50.499722	-004.665833	Bodmin
EGHC	50.102772	-005.670556	St Just
EGKB	51.330833	000.032500	Biggin Hill
EGHE	49.913330	-006.291945	St Mary's
EGHG	50.939995	-002.658611	Westland
EGHH	50.779995	-001.842500	Bournemouth
EGHI	50.950253	-001.356803	Southampton Intl
EGJA	49.706104	-002.214722	Alderney
EGKA	50.834442	-000.294444	Shoreham
EGHJ	50.678051	-001.109167	Bembridge
EGJB	49.434956	-002.601969	Guernsey
EGJJ	49.207943	-002.195508	Jersey
EGHU	50.928326	-003.990000	Eaglescott
EGHR	50.859161	-000.759167	Goodwood
EGHP	51.193886	-001.234722	Popham
EGHO	51.210274	-001.598333	Thruxton
EGHN	50.652775	-001.181944	Sandown
EGHL	51.186104	-001.030555	Lasham
EGVA	51.683330	-001.783333	Fairford
EGTI	51.688330	-000.416667	Leavesden
EGTH	51.766670	-000.250000	Hatfield
EGXV	53.866670	-000.433333	Leconfield
EGTA	51.777778	-000.933056	Aylesbury Thame
EGSE	52.026100	001.195300	Ipswich
EGRR	51.383330	-000.783333	Bracknell
EGRB	51.516670	-000.116667	London Met Centre
EGQJ	55.433330	-005.700000	Machrihanish RAF
EGQA	57.816670	-003.966667	Tain
EGPY	58.584200	-003.725300	Thurso
EGTT	55.000000	005.000000	London FIR
EGQM	55.416670	-001.600000	Boulmer
EGHS	50.986111	-002.350000	Henstridge
EGYH	52.866670	000.150000	USAF Met Station
EGYW	53.083330	000.266667	Met. Stn.
EGOP	51.716670	-004.366667	Rochester
EGOM	55.050000	-002.550000	Spadeadam
EGOC	54.306700	-005.569200	Bishops Court
EGUS	50.814700	-001.205600	Lee-On-Solent(NAVY)
EGKM	51.269700	000.406900	West Malling
EGUA	51.933330	-001.250000	Upper Heyford RAF
EGGX	61.000000	-010.000000	Shanwick Oceanic FIR
EGDK	51.666670	-002.050000	Kemble
EGDC	51.083330	-004.150000	Chivenor RAF
EGDB	50.350000	-004.116667	Plymouth RCC
EGCA	53.303611	-001.424167	Coal Aston
EGUF	51.283330	-000.766667	Farnborough (Mil)
EGXH	52.333330	000.766667	Honington
EGXF	53.850000	-006.100000	Cowden
EGX1	51.721660	000.156667	North Weald
EGWZ	52.366670	-000.216667	Alconbury RAF
EGVJ	52.133330	001.433333	Bentwaters (Mil)
EGPX	61.000000	000.000000	Scottish FIR
EGVI	51.383330	-001.283333	Green Common
EGVG	52.083330	001.400000	Woodbridge RAF
EGUY	52.350000	-000.116667	Wyton
EGUP	52.850000	000.766667	Mil. Met Center (US)
EGXI	53.474400	-001.003100	Finningley RAF
EGMH	51.341400	001.347800	Manston
EHSE	51.554714	004.552500	Seppe
EHWO	51.448990	004.342150	Woensdrecht AB
EHNP	52.730000	005.746666	Noordoostpolder
EHSB	52.127293	005.276200	Soesterberg AB
EHLW	53.225262	005.752533	Leeuwarden AB
EHTE	52.245831	006.047222	Teuge
EHTW	52.275829	006.889100	Twenthe AB
EHTX	53.116383	004.833889	Texel
EHLE	52.460270	005.527222	Lelystad
EHVK	51.657196	005.707817	Volkel AB
EHMZ	51.512215	003.731111	Midden-Zeeland
EHVB	52.166149	004.417950	Valkenburg Navy
EHRD	51.956944	004.437222	Rotterdam
EHKD	52.924446	004.780833	De Kooy
EHAL	53.451664	005.677222	Ameland
EHAM	52.308052	004.764167	Schiphol
EHBD	51.254436	005.600833	Budel
EHBK	50.915825	005.776944	Maastricht-Aachen
EHDL	52.059734	005.871933	Deelen AB
EHEH	51.450127	005.374516	Eindhoven AB
EHGG	53.124992	006.583333	Eelde
EHGR	51.567375	004.931833	Gilze-Rijen AB
EHHO	52.730827	006.516111	Hoogeveen
EHHV	52.191936	005.146945	Hilversum
EHDR	53.118053	006.129167	Drachten
EHDP	51.512500	005.841700	De Peel  Venraij
EHDB	52.100000	005.183333	De Bilt
EHAA	52.299722	004.766389	Amsterdam
EHVL	53.250000	004.916667	Vlieland
EHYB	52.043890	004.373060	Ypenburg
EIWF	52.187195	-007.086964	Waterford
EIIR	53.058575	-009.506111	Inisheer
EIKL	52.650883	-007.296111	Kilkenny
EIKY	52.180870	-009.523784	Farranfore
EIMN	53.091915	-009.569972	Inishmaan
EINN	52.701977	-008.924817	Shannon
EIRT	52.104996	-008.983334	Rathcoole
EISG	54.280212	-008.599208	Sligo
EIWT	53.352158	-006.490695	Weston
EITM	53.574997	-006.738333	Trim
EIIM	53.106663	-009.653334	Inishmore
EIKN	53.910294	-008.818492	Connaught
EISP	52.849991	-009.416667	Spanish Point
EIBT	54.223331	-010.030000	Belmullet
EIME	53.302990	-006.455406	Casement AB
EIAB	53.591660	-007.645000	Abbey/Shrule
EIHN	52.854996	-006.546667	Hacketstown
EIBB	52.849991	-006.050005	Brittas Bay
EIBR	53.069996	-007.898334	Birr
EICA	53.230499	-009.467777	Connemara
EICB	53.848465	-009.280306	Castlebar
EIDL	55.044186	-008.341000	Donegal
EICM	53.300175	-008.941591	Carnmore
EICN	52.666656	-008.681666	Coonagh
EICK	51.841270	-008.491111	Cork
EIGN	53.179993	-006.635000	Gowran Grange
EIBN	51.668327	-009.483334	Bantry
EIDW	53.421329	-006.270075	Dublin
EILT	54.951400	-007.671900	Letterkenny
EIPT	53.189200	-006.181900	Powerscourt
EIGM	53.633333	-006.233333	Gormanston Mil
EICS	53.778333	-007.835278	Castleforbes
EISN	55.333333	-006.916667	Shannon FIR
EKSP	55.225548	009.263930	Vojens/Skrydstrup AB
EKSN	57.503887	010.228333	Sindal
EKSD	56.103329	008.515555	Spjald
EKSB	54.964993	009.791111	Sonderborg
EKYT	57.092777	009.849167	Aalborg
EKRN	55.063328	014.759444	Ronne
EKSS	55.889992	010.614722	Samso
EKVH	56.847496	009.460000	Aars
EKRR	55.210827	014.879723	Ro
EKRS	55.426105	011.807500	Ringsted
EKST	55.017776	010.563334	Tasinge
EKSV	56.550827	009.174444	Skive
EKTD	54.930275	008.841945	Tonder
EKTS	57.069443	008.703333	Thisted
EKVA	55.701107	009.213611	Vandel AB
EKVB	56.410553	009.410556	Viborg
EKVG	62.064163	-007.277222	Vagar
EKVJ	55.990829	008.355000	Stauning
EKVL	55.769440	012.323889	Vaerlose AB
EKRK	55.585560	012.131428	Roskilde
EKMB	54.699997	011.441389	Maribo
EKVD	55.436382	009.330833	Vamdrup
EKAL	55.866661	012.316667	Allerod
EKNM	56.824993	008.788055	Morso
EKRD	56.507221	010.037778	Randers
EKAH	56.299999	010.619166	Aarhus
EKAT	56.699436	011.556945	Anholt
EKBI	55.740276	009.151667	Billund
EKCH	55.618053	012.656111	Kastrup
EKEB	55.526386	008.552500	Esbjerg
EKGH	55.933331	012.383333	Gronholt
EKHG	56.184719	009.044723	Herning
EKHK	55.734997	011.608334	Ny Hagested
EKHV	55.302773	009.523889	Haderslev
EKKA	56.298603	009.111111	Karup AB
EKKL	55.700829	011.251111	Kalundborg
EKLS	57.278332	011.002778	Laeso
EKLV	56.503605	008.312778	Lemvig
EKMN	54.965549	012.195833	Koster Vig Mon
EKNS	54.817219	011.132500	Nakskov
EKOD	55.476658	010.331111	Odense
EKPB	54.870831	009.280278	Krusa-Padborg
EKHS	56.756660	010.230278	Hadsund
EKAE	54.853607	010.457222	Aero
EKHO	56.400000	008.450000	Lindtorp
EKDK	55.583056	012.133056	Kobenhavn
EKAV	55.083330	011.783330	Avno (Mil)
ELLX	49.623329	006.204444	Luxembourg
ELNT	49.981106	005.917778	Noertrange
ENOV	62.180027	006.074250	Hovden
ENRA	66.363884	014.303333	Rossvoll
ENRM	64.838600	011.147500	Ryum
ENOL	63.699440	009.605278	Orland AB
ENRS	67.527641	012.103252	Rost
ENRY	59.378765	010.785502	Rygge AB
ENRO	62.579018	011.344983	Roros
ENNO	59.565525	009.212289	Notodden
ENNM	64.472496	011.580277	Namsos
ENNK	68.436935	017.388332	Framnes
ENMS	65.783890	013.216666	Kjaerstad
ENML	62.744804	007.262617	Aro
ENSB	78.245277	015.469444	Longyear
ENTO	59.186630	010.258631	Torp
ENNA	70.066658	024.975277	Banak AB
ENZV	58.876659	005.637778	Sola
ENSD	61.830547	006.109722	Anda
ENMH	71.029442	027.827778	Mehamn
ENSG	61.156944	007.140278	Haukasen
ENSH	68.242767	014.670000	Helle
ENSK	68.580833	015.023611	Skagen
ENSN	59.185047	009.567083	Geiteryggen
ENSO	59.792728	005.339719	Sorstokken
ENSR	69.786667	020.960833	Sorkjosen
ENSS	70.354721	031.045555	Svartnes
ENTC	69.681381	018.919445	Tromso
ENVA	63.457588	010.924189	Vaernes AB
ENVD	70.064995	029.844999	Vadso
ENDU	69.055832	018.541666	Bardufoss AB
ENST	65.959999	012.473888	Stokka
ENAN	69.292221	016.145555	Andoya AB
ENFA	63.700554	008.760555	Flatval
ENAL	62.562435	006.119639	Vigra
ENAT	69.976112	023.371111	Alta
ENBL	61.392494	005.764166	Bringeland
ENBM	60.633331	006.500000	Bomoen AB
ENBN	65.461159	012.217550	Bronnoy
ENBO	67.269196	014.365250	Bodo
ENBR	60.293606	005.218056	Flesland
ENBS	70.599998	029.658333	Batsfjord
ENBV	70.871384	029.034445	Berlevag
ENCN	58.203949	008.085022	Kjevik
ENDI	60.416687	008.512806	Dagali
ENEV	68.491661	016.679445	Evenes
ENKR	69.725830	029.895555	Hoybuktmoen
ENLK	68.152596	013.609494	Leknes
ENFB	59.896660	010.618333	Fornebu
ENLI	58.100277	006.625000	Lista
ENKJ	59.983334	011.033333	Kjeller AB
ENKB	63.112049	007.826136	Kvernberget
ENKA	69.049995	023.049999	Kautokeino AB
ENHV	71.009445	025.983334	Valan
ENFL	61.584160	005.026945	Floro
ENHF	70.679436	023.670000	Hammerfest
ENHD	59.343193	005.212517	Karmoy
ENHA	60.817936	011.049583	Stafsberg
ENGM	60.202778	011.083889	Gardermoen
ENHK	70.486664	022.139999	Hasvik
ENFG	61.015507	009.288089	Leirin
ENFY	59.204722	008.085000	Fyresdal
ENBD	69.794722	030.818611	Bodo FIR
ENAS	78.916660	011.933330	Svalbard Island
ENBJ	74.516670	019.016670	Bjornoya
ENEG	60.219444	010.328056	Eggemoen
ENFR	59.933330	002.000000	Frigg
ENGC	61.033330	002.033333	Gullfax
ENHO	76.500000	025.066670	Hopen
ENHS	59.764167	009.911389	Hokksund
ENJA	70.933330	-008.666667	Jan Mayen Island
ENOA	59.316670	010.450000	Oseberg
ENOB	82.000000	000.000000	Bodo Oceanic FIR
ENOS	62.000000	007.500000	Oslo FIR
ENSV	63.000000	000.000000	Stavanger FIR
ENEK	56.550000	003.250000	Ekofisk
ENTR	63.466667	010.933056	Trondheim
ENJB	59.297222	010.366667	Jarlsberg
EPRP	51.479012	021.110033	Piastow
EPRJ	50.105186	022.051514	Rzeszow
EPPT	51.383121	019.688433	Piotrkow Trybunalski
EPPR	54.248051	018.673334	Pruszcz Gdanski Mil
EPPO	52.421028	016.826324	Lawica
EPPL	52.562241	019.721283	Plock
EPOD	53.772934	020.414968	Dajtki
EPOP	50.633202	017.781713	Polska Nowa Wies
EPOM	51.702477	017.846807	Michalkow
EPRZ	50.109955	022.018999	Jasionka
EPWK	52.584610	019.015495	Kruszyn
EPNT	49.462624	020.050291	Nowy Targ
EPPK	52.433880	017.044003	Kobylnica
EPSC	53.584724	014.902205	Goleniow
EPSD	53.392113	014.633775	Dabie
EPSK	54.478886	017.107500	Redzikowo Mil
EPSU	54.072716	022.899069	Suwalki
EPSW	51.231976	022.690317	Swidnik
EPSY	53.481853	020.937691	Szymany
EPWA	52.165745	020.967123	Okecie
EPWR	51.102676	016.885836	Strachowice
EPZA	50.701809	023.204256	Mokre
EPZP	51.978935	015.463822	Przylep
EPNL	49.745537	020.623541	Lososina Dolna
EPZG	52.138515	015.798555	Babimost
EPTO	53.029205	018.545895	Torun
EPDE	51.551384	021.893612	Deblin Mil
EPMO	52.451111	020.650555	Modlin Mil
EPZR	49.771053	019.218031	Zar
EPBA	49.804996	019.002008	Aleksandrowice
EPBK	53.101379	023.170666	Krywlany
EPCH	50.884998	019.204721	Rudniki
EPEL	54.140881	019.423349	Elblag
EPGD	54.377563	018.466223	Rebiechowo
EPGI	53.524414	018.849325	Lisie Katy
EPGL	50.269413	018.672792	Gliwice
EPIN	52.806339	018.285789	Inowroclaw
EPIW	49.657902	021.817411	Iwonicz
EPJG	50.898819	015.785508	Jelenia Gora
EPLL	51.721878	019.398134	Lublinek
EPLU	51.423004	016.196157	Lubin
EPBY	53.096802	017.977669	Szwederowo
EPML	50.322273	021.462130	Mielec
EPKA	50.896812	020.731562	Maslow
EPMB	54.026939	019.134167	Malbork Mil
EPLS	51.835014	016.521839	Leszno
EPKT	50.474247	019.080019	Pyrzowice
EPKR	49.683067	021.733641	Krosno
EPKP	50.089672	020.201658	Pobiednik Wielki
EPKO	54.042500	016.265556	Zegrze Pomorskie Mil
EPKM	50.238297	019.033983	Muchowiec
EPKK	50.077732	019.784836	Balice Jps Intl
EPLR	51.221798	022.394556	Radawiec
EPWW	49.083333	022.566667	Warszawa FIR
ESOW	59.589462	016.633699	Hasslo AB
ESOL	60.588612	016.590000	Lemstanas
ESOK	59.444721	013.337500	Karlstad
ESPA	65.543243	022.123562	Kallax AB
ESOE	59.228104	015.040052	Orebro
ESSA	59.651966	017.918514	Arlanda
ESNX	65.590134	019.281834	Arvidsjaur
ESOH	60.021046	013.578858	Hagfors
ESPC	63.194546	014.500286	Froson AB
ESPD	64.961029	017.701878	Storuman
ESPE	65.876663	020.154167	Vidsel AB
ESPG	65.810272	021.691389	Boden Army
ESQO	59.388885	015.923889	Arboga
ESSB	59.354504	017.942133	Bromma
ESSC	59.384998	016.445000	Ekeby
ESNV	64.578560	016.839828	Vilhelmina
ESNH	61.768360	017.080488	Hudiksvall
ESPJ	65.839447	021.473333	Heden AB
ESNL	64.547478	018.717842	Lycksele
ESNB	63.172222	016.988890	Solleftea
ESNC	62.409721	013.750000	Hedlanda
ESND	62.047741	014.424505	Sveg
ESNE	66.529991	022.355000	Overkalix
ESNF	61.898880	015.708333	Farila AB
ESNG	67.133018	020.812243	Gallivare
ESSX	59.576385	016.506390	Johannisberg
ESNI	63.633606	017.939722	Kubbe AB
ESNJ	66.498047	020.151667	Jokkmokk AB
ESNK	63.048485	017.769205	Kramfors AB
ESNU	63.793148	020.279858	Umea
ESNM	63.126385	014.811389	Optand
ESNN	62.529381	017.442898	Sundsvall-Harnosand
ESNO	63.407898	018.992598	Ornskoldsvik
ESNP	65.399437	021.265278	Pitea AB
ESNQ	67.821259	020.335592	Kiruna
ESNR	61.193054	014.722222	Orsa
ESNS	64.624718	021.076881	Skelleftea
ESNT	62.482224	017.006390	Sattna AB
ESSD	60.422123	015.514947	Borlange AB
ESVA	60.180828	016.125834	Avesta
ESSV	57.662766	018.346033	Visby
ESUK	67.766663	020.266666	Kalixfors Army
ESUL	61.817768	016.007500	Ljusdal
ESUM	61.291939	016.849722	Mohed
ESUR	63.491386	016.486944	Ramsele
ESUS	64.160278	017.278055	Asele
ESUT	65.806168	015.082848	Hemavan
ESUH	62.632774	017.982500	Myran
ESUY	61.387772	015.836389	Edsbyn
ESUG	65.306389	017.979445	Gargnas
ESVG	60.551384	015.081111	Gagnef
ESVH	59.868053	014.426666	Hallefors
ESVK	59.022778	016.223333	Katrineholm
ESVM	60.659996	013.730000	Skinnlanda
ESVQ	59.528049	015.972777	Koping
ESVS	60.785828	014.830277	Siljansnas
ESNA	63.739437	015.462222	Hallviken
ESKS	59.314442	017.112499	Strangnas AB
ESUV	65.646942	021.065834	Alvsbyn
ESST	60.154644	012.993664	Fryklanda
ESSF	57.525818	015.823322	Hultsfred AB
ESSG	60.088272	015.096408	Ludvika
ESSH	58.979160	014.669167	Laxa
ESSI	58.098881	014.405278	Visingso
ESSK	60.593227	016.951395	Gavle-Sandviken AB
ESSL	58.406258	015.679708	Saab
ESSM	59.608879	013.915000	Brattforsheden
ESUJ	62.566105	015.838056	Talje
ESSP	58.585968	016.246288	Kungsangen
ESSE	59.345551	017.743889	Ska-Edeby
ESSU	59.352264	016.708422	Eskilstuna AB
